Date,Open,High,Low,Close,Adj Close,Volume
2009-02-01,12.820000,15.150000,12.050000,12.740000,8.535515,1328263700
2009-03-01,12.510000,15.890000,12.070000,15.030000,10.173498,1633445000
2009-04-01,14.770000,16.389999,14.620000,15.780000,10.681155,1505340900
2009-05-01,15.760000,16.740000,15.000000,15.720000,10.640543,1338935300
2009-06-01,16.030001,16.700001,15.610000,16.549999,11.297288,1304048600
2009-07-01,16.670000,19.799999,15.780000,19.250000,13.140354,1726189600
2009-08-01,19.480000,20.650000,18.410000,20.320000,13.870748,1109221900
2009-09-01,20.219999,20.580000,19.219999,19.570000,13.456294,1065272900
2009-10-01,19.490000,21.270000,18.740000,19.110001,13.140001,1704082000
2009-11-01,19.049999,20.500000,18.309999,19.200001,13.201886,1184437600
2009-12-01,19.459999,20.719999,19.000000,20.400000,14.133962,1038055000
2010-01-01,20.790001,21.549999,19.299999,19.400000,13.441122,1509082400
2010-02-01,19.469999,20.969999,18.950001,20.530001,14.224037,1125494400
2010-03-01,20.680000,22.750000,20.260000,22.290001,15.566969,1290896200
2010-04-01,22.400000,24.370001,22.160000,22.840000,15.951085,1550379100
2010-05-01,22.980000,23.440001,19.900000,21.420000,14.959379,1830571300
2010-06-01,21.299999,22.000000,19.400000,19.450001,13.679366,1364086200
2010-07-01,19.430000,22.280001,18.959999,20.600000,14.488168,1607900800
2010-08-01,20.900000,21.280001,17.600000,17.670000,12.427474,1741791400
2010-09-01,17.940001,19.620001,17.750000,19.200001,13.606551,1347521700
2010-10-01,19.469999,20.559999,18.770000,20.049999,14.208918,1399157800
2010-11-01,20.350000,21.809999,20.219999,21.160000,14.995543,1126956500
2010-12-01,21.459999,22.070000,20.650000,21.030001,15.020099,920821000
2011-01-01,21.010000,21.940001,20.270000,21.459999,15.327212,1449438700
2011-02-01,21.490000,22.209999,21.010000,21.469999,15.334352,1002697600
2011-03-01,21.610001,22.080000,19.709999,20.180000,14.535033,1330377500
2011-04-01,20.379999,23.190001,19.360001,23.150000,16.674229,1446913800
2011-05-01,23.020000,23.959999,22.110001,22.510000,16.213263,1583498800
2011-06-01,22.450001,22.480000,21.000000,22.160000,16.086508,1183643100
2011-07-01,22.209999,23.389999,22.080000,22.330000,16.209911,945313300
2011-08-01,22.570000,22.690001,19.160000,20.129999,14.612878,1552667100
2011-09-01,20.280001,22.980000,19.160000,21.340000,15.642486,1336431600
2011-10-01,21.180000,25.200001,20.400000,24.540001,17.988123,1523540600
2011-11-01,24.110001,25.500000,22.510000,24.910000,18.259344,1137108100
2011-12-01,24.870001,25.780001,23.049999,24.250000,17.933462,987696800
2012-01-01,24.620001,27.000000,24.389999,26.420000,19.538229,1119898300
2012-02-01,26.740000,27.500000,26.350000,26.879999,19.878405,782982800
2012-03-01,27.059999,28.450001,26.200001,28.120001,20.961588,726544100
2012-04-01,28.040001,28.780001,27.240000,28.400000,21.170311,747858300
2012-05-01,28.469999,29.270000,24.920000,25.840000,19.262007,872560200
2012-06-01,25.400000,27.750000,24.840000,26.650000,20.009811,789493000
2012-07-01,26.510000,26.860001,24.680000,25.700001,19.296507,767755500
2012-08-01,25.830000,26.900000,24.150000,24.830000,18.643282,753682300
2012-09-01,25.030001,25.100000,22.480000,22.660000,17.163012,933236400
2012-10-01,22.750000,23.170000,21.219999,21.629999,16.382874,1116041800
2012-11-01,21.760000,22.540001,19.230000,19.570000,14.822599,1158066100
2012-12-01,19.879999,21.309999,19.500000,20.620001,15.778821,805637100
2013-01-01,21.150000,23.059999,20.879999,21.040001,16.100210,1220335600
2013-02-01,21.190001,21.379999,20.100000,20.879999,15.977777,702460600
2013-03-01,20.790001,22.040001,20.660000,21.840000,16.892002,755792900
2013-04-01,21.670000,24.000000,20.750000,23.950001,18.523970,1251872500
2013-05-01,23.820000,24.709999,23.580000,24.280001,18.779209,740062700
2013-06-01,24.879999,25.980000,23.410000,24.230000,18.917068,870588100
2013-07-01,24.350000,24.430000,22.629999,23.340000,18.222219,1016381600
